0087世代:【1位】1.873点,1.682[m] 【2位】1.618点,1.560[m]
0088世代:【1位】1.873点,1.682[m] 【2位】1.567点,1.476[m]
0089世代:【1位】1.873点,1.682[m] 【2位】1.644点,1.493[m]
0090世代:【1位】1.873点,1.682[m] 【2位】1.630点,1.551[m]
0091世代:【1位】1.873点,1.682[m] 【2位】1.488点,1.451[m]
0092世代:【1位】1.873点,1.682[m] 【2位】1.742点,1.712[m]
0093世代:【1位】1.873点,1.682[m] 【2位】1.568点,1.505[m]
0094世代:【1位】1.876点,1.604[m] 【2位】1.698点,1.577[m]
0095世代:【1位】1.876点,1.604[m] 【2位】1.440点,1.385[m]
0096世代:【1位】1.876点,1.604[m] 【2位】1.543点,1.405[m]
0097世代:【1位】1.876点,1.604[m] 【2位】1.559点,1.494[m]
0098世代:【1位】1.876点,1.604[m] 【2位】1.506点,1.463[m]
0099世代:【1位】1.876点,1.604[m] 【2位】1.492点,1.442[m]
0100世代:【1位】1.876点,1.604[m] 【2位】1.462点,1.380[m]
0101世代:【1位】1.876点,1.604[m] 【2位】1.455点,1.400[m]
0102世代:【1位】1.876点,1.604[m] 【2位】1.630点,1.401[m]
0103世代:【1位】1.876点,1.604[m] 【2位】1.573点,1.521[m]
0104世代:【1位】1.876点,1.604[m] 【2位】1.552点,1.496[m]
0105世代:【1位】1.876点,1.604[m] 【2位】1.520点,1.475[m]
0106世代:【1位】1.876点,1.604[m] 【2位】1.758点,1.698[m]
0107世代:【1位】1.876点,1.604[m] 【2位】1.433点,1.401[m]
0108世代:【1位】1.876点,1.604[m] 【2位】1.676点,1.580[m]
0109世代:【1位】1.876点,1.604[m] 【2位】1.608点,1.573[m]
0110世代:【1位】1.876点,1.604[m] 【2位】1.588点,1.545[m]
0111世代:【1位】1.876点,1.604[m] 【2位】1.630点,1.533[m]
0112世代:【1位】1.876点,1.604[m] 【2位】1.471点,1.416[m]
0113世代:【1位】1.876点,1.604[m] 【2位】1.395点,1.355[m]
0114世代:【1位】1.876点,1.604[m] 【2位】1.638点,1.292[m]
0115世代:【1位】1.876点,1.604[m] 【2位】1.531点,1.488[m]
0116世代:【1位】1.876点,1.604[m] 【2位】1.727点,1.650[m]
0117世代:【1位】1.876点,1.604[m] 【2位】1.409点,1.368[m]
0118世代:【1位】1.876点,1.604[m] 【2位】1.664点,1.608[m]
0119世代:【1位】1.876点,1.604[m] 【2位】1.570点,1.424[m]
0120世代:【1位】1.876点,1.604[m] 【2位】1.632点,1.429[m]
0121世代:【1位】1.876点,1.604[m] 【2位】1.630点,1.588[m]
0122世代:【1位】1.876点,1.604[m] 【2位】1.586点,1.532[m]
0123世代:【1位】1.876点,1.604[m] 【2位】1.584点,1.542[m]
0124世代:【1位】1.876点,1.604[m] 【2位】1.663点,1.413[m]
